Date,Open,High,Low,Close,Adj Close,Volume
2016-07-29,5050.000000,5137.500000,5025.000000,5050.000000,4182.346191,92460400
2016-08-01,5112.500000,5325.000000,5100.000000,5275.000000,4368.688965,129522800
2016-08-02,5325.000000,5387.500000,5275.000000,5325.000000,4410.097656,124227200
2016-08-03,5325.000000,5325.000000,5200.000000,5212.500000,4316.926758,33408600
2016-08-04,5275.000000,5300.000000,5212.500000,5275.000000,4368.688965,69182400
2016-08-05,5312.500000,5700.000000,5300.000000,5700.000000,4720.668457,135517000
2016-08-08,5750.000000,5837.500000,5725.000000,5825.000000,4824.191406,83615200
2016-08-09,5825.000000,5975.000000,5825.000000,5900.000000,4886.306152,67610000
2016-08-10,5825.000000,5837.500000,5737.500000,5775.000000,4782.783203,34379400
2016-08-11,5725.000000,5750.000000,5525.000000,5587.500000,4627.497070,48085000
2016-08-12,5625.000000,5675.000000,5437.500000,5537.500000,4586.087402,110896200
2016-08-15,5512.500000,5600.000000,5450.000000,5587.500000,4627.497070,33494000
2016-08-16,5600.000000,5675.000000,5575.000000,5662.500000,4689.611816,50847000
2016-08-18,5675.000000,5725.000000,5662.500000,5712.500000,4731.020508,61187600
2016-08-19,5712.500000,5812.500000,5675.000000,5725.000000,4741.373535,59268800
2016-08-22,5712.500000,5737.500000,5650.000000,5700.000000,4720.668457,48468200
2016-08-23,5725.000000,5775.000000,5600.000000,5650.000000,4679.259277,53390000
2016-08-24,5675.000000,5762.500000,5662.500000,5675.000000,4699.963867,37971400
2016-08-25,5675.000000,5762.500000,5675.000000,5700.000000,4720.668457,38301000
2016-08-26,5775.000000,5775.000000,5650.000000,5700.000000,4720.668457,18745800
2016-08-29,5600.000000,5625.000000,5525.000000,5587.500000,4627.497070,54532600
2016-08-30,5550.000000,5637.500000,5525.000000,5637.500000,4668.907227,40049400
2016-08-31,5550.000000,5675.000000,5550.000000,5612.500000,4648.202148,44721200
2016-09-01,5550.000000,5612.500000,5525.000000,5537.500000,4586.087402,25032800
2016-09-02,5437.500000,5600.000000,5437.500000,5587.500000,4627.497070,21308200
2016-09-05,5650.000000,5662.500000,5587.500000,5587.500000,4627.497070,21664000
2016-09-06,5550.000000,5600.000000,5512.500000,5587.500000,4627.497070,26650200
2016-09-07,5562.500000,5637.500000,5562.500000,5637.500000,4668.907227,31803600
2016-09-08,5587.500000,5625.000000,5562.500000,5600.000000,4637.850098,13536400
2016-09-09,5550.000000,5600.000000,5412.500000,5425.000000,4492.916992,49997000
2016-09-13,5337.500000,5412.500000,5250.000000,5337.500000,4420.450684,41540000
2016-09-14,5262.500000,5400.000000,5262.500000,5300.000000,4389.394043,35116000
2016-09-15,5362.500000,5600.000000,5300.000000,5487.500000,4544.678223,43624600
2016-09-16,5550.000000,5625.000000,5500.000000,5537.500000,4586.087402,58232400
2016-09-19,5587.500000,5650.000000,5562.500000,5612.500000,4648.202148,19587400
2016-09-20,5650.000000,5700.000000,5625.000000,5700.000000,4720.668457,22696800
2016-09-21,5612.500000,5750.000000,5587.500000,5687.500000,4710.316895,32028600
2016-09-22,5750.000000,5825.000000,5712.500000,5825.000000,4824.191406,42214600
2016-09-23,5750.000000,5850.000000,5737.500000,5750.000000,4762.077148,40007400
2016-09-26,5800.000000,5837.500000,5712.500000,5825.000000,4824.191406,27251000
2016-09-27,5825.000000,5875.000000,5700.000000,5875.000000,4865.601074,66423200
2016-09-28,5725.000000,5750.000000,5600.000000,5650.000000,4679.259277,124102200
2016-09-29,5662.500000,5725.000000,5662.500000,5712.500000,4731.020508,76689400
2016-09-30,5675.000000,5687.500000,5575.000000,5600.000000,4637.850098,67017000
2016-10-03,5662.500000,5675.000000,5575.000000,5637.500000,4668.907227,36428200
2016-10-04,5637.500000,5650.000000,5587.500000,5600.000000,4637.850098,42299000
2016-10-05,5562.500000,5587.500000,5487.500000,5500.000000,4555.030762,72747200
2016-10-06,5500.000000,5537.500000,5437.500000,5475.000000,4534.326660,51681800
2016-10-07,5412.500000,5475.000000,5412.500000,5450.000000,4513.621094,28843600
2016-10-10,5487.500000,5525.000000,5450.000000,5450.000000,4513.621094,28145200
2016-10-11,5462.500000,5500.000000,5400.000000,5425.000000,4492.916992,44661400
2016-10-12,5375.000000,5512.500000,5375.000000,5500.000000,4555.030762,29374000
2016-10-13,5512.500000,5562.500000,5437.500000,5525.000000,4575.735840,37368600
2016-10-14,5525.000000,5687.500000,5512.500000,5675.000000,4699.963867,47128400
2016-10-17,5625.000000,5725.000000,5625.000000,5687.500000,4710.316895,33521000
2016-10-18,5725.000000,5750.000000,5700.000000,5700.000000,4720.668457,28454800
2016-10-19,5687.500000,5725.000000,5662.500000,5687.500000,4710.316895,25728400
2016-10-20,5700.000000,5712.500000,5650.000000,5650.000000,4679.259277,26822200
2016-10-21,5700.000000,5700.000000,5612.500000,5612.500000,4648.202148,25189400
2016-10-24,5612.500000,5687.500000,5600.000000,5600.000000,4637.850098,31725400
2016-10-25,5612.500000,5650.000000,5575.000000,5587.500000,4627.497070,36891200
2016-10-26,5512.500000,5600.000000,5412.500000,5537.500000,4586.087402,70990600
2016-10-27,5537.500000,5687.500000,5537.500000,5662.500000,4689.611816,34668200
2016-10-28,5700.000000,5712.500000,5662.500000,5687.500000,4710.316895,21755400
2016-10-31,5700.000000,5825.000000,5700.000000,5737.500000,4751.725586,66365400
2016-11-01,5737.500000,5812.500000,5712.500000,5712.500000,4731.020508,37035600
2016-11-02,5712.500000,5775.000000,5712.500000,5750.000000,4762.077148,36200800
2016-11-03,5725.000000,5750.000000,5575.000000,5575.000000,4617.145020,45884400
2016-11-04,5500.000000,5637.500000,5475.000000,5550.000000,4596.440430,29366200
2016-11-07,5650.000000,5700.000000,5562.500000,5687.500000,4710.316895,34949400
2016-11-08,5725.000000,5825.000000,5712.500000,5787.500000,4793.134766,41031600
2016-11-09,5825.000000,5950.000000,5625.000000,5675.000000,4699.963867,57292800
2016-11-10,5800.000000,5812.500000,5712.500000,5712.500000,4731.020508,27385200
2016-11-11,5562.500000,5587.500000,5425.000000,5425.000000,4492.916992,100075600
2016-11-14,5350.000000,5375.000000,5025.000000,5162.500000,4275.517578,96965000
2016-11-15,5200.000000,5337.500000,5162.500000,5275.000000,4368.688965,42468200
2016-11-16,5300.000000,5475.000000,5300.000000,5412.500000,4482.564453,25946400
2016-11-17,5437.500000,5450.000000,5337.500000,5450.000000,4513.621094,26122400
2016-11-18,5475.000000,5475.000000,5375.000000,5462.500000,4523.974121,21402600
2016-11-21,5350.000000,5400.000000,5337.500000,5350.000000,4430.803223,41338400
2016-11-22,5350.000000,5462.500000,5350.000000,5462.500000,4523.974121,35937000
2016-11-23,5387.500000,5462.500000,5350.000000,5450.000000,4513.621094,34578600
2016-11-24,5350.000000,5362.500000,5012.500000,5050.000000,4182.346191,115392000
2016-11-25,5087.500000,5137.500000,5012.500000,5075.000000,4203.051270,56497400
2016-11-28,5075.000000,5087.500000,5012.500000,5075.000000,4203.051270,55713000
2016-11-29,5075.000000,5200.000000,5075.000000,5162.500000,4275.517578,41518600
2016-11-30,5200.000000,5312.500000,5200.000000,5250.000000,4347.984375,78813200
2016-12-01,5250.000000,5350.000000,5250.000000,5250.000000,4347.984375,56418200
2016-12-02,5325.000000,5387.500000,5250.000000,5350.000000,4430.803223,37306400
2016-12-05,5300.000000,5362.500000,5300.000000,5325.000000,4410.097656,21555600
2016-12-06,5400.000000,5412.500000,5287.500000,5325.000000,4410.097656,47887000
2016-12-07,5325.000000,5350.000000,5312.500000,5350.000000,4430.803223,21146600
2016-12-08,5387.500000,5475.000000,5362.500000,5475.000000,4534.326660,31417800
2016-12-09,5400.000000,5500.000000,5400.000000,5487.500000,4544.678223,32367400
2016-12-13,5462.500000,5462.500000,5375.000000,5412.500000,4482.564453,26011600
2016-12-14,5437.500000,5487.500000,5400.000000,5437.500000,4503.269043,20126200
2016-12-15,5350.000000,5425.000000,5300.000000,5400.000000,4472.212402,27609200
2016-12-16,5400.000000,5425.000000,5375.000000,5375.000000,4451.507813,35022400
2016-12-19,5375.000000,5450.000000,5375.000000,5412.500000,4482.564453,11594400
2016-12-20,5375.000000,5437.500000,5375.000000,5400.000000,4472.212402,16760800
2016-12-21,5375.000000,5412.500000,5375.000000,5375.000000,4451.507813,23134400
2016-12-22,5375.000000,5412.500000,5350.000000,5375.000000,4451.507813,48561400
2016-12-23,5375.000000,5475.000000,5362.500000,5387.500000,4461.860352,27285000
2016-12-27,5387.500000,5425.000000,5375.000000,5400.000000,4472.212402,19325400
2016-12-28,5475.000000,5575.000000,5437.500000,5575.000000,4617.145020,23728800
2016-12-29,5600.000000,5787.500000,5550.000000,5787.500000,4793.134766,38975600
2016-12-30,5787.500000,5862.500000,5675.000000,5787.500000,4793.134766,68069800
2017-01-02,5787.500000,5787.500000,5787.500000,5787.500000,4793.134766,0
2017-01-03,5787.500000,5787.500000,5600.000000,5650.000000,4679.259277,25206000
2017-01-04,5650.000000,5675.000000,5562.500000,5675.000000,4699.963867,20555200
2017-01-05,5600.000000,5662.500000,5575.000000,5625.000000,4658.554688,33277200
2017-01-06,5675.000000,5712.500000,5637.500000,5687.500000,4710.316895,27168800
2017-01-09,5712.500000,5712.500000,5612.500000,5637.500000,4668.907227,18174600
2017-01-10,5687.500000,5700.000000,5625.000000,5700.000000,4720.668457,12402400
2017-01-11,5712.500000,5800.000000,5687.500000,5687.500000,4710.316895,34363600
2017-01-12,5700.000000,5737.500000,5650.000000,5650.000000,4679.259277,14568000
2017-01-13,5737.500000,5737.500000,5550.000000,5550.000000,4596.440430,28114400
2017-01-16,5625.000000,5625.000000,5450.000000,5462.500000,4523.974121,38814600
2017-01-17,5450.000000,5512.500000,5450.000000,5462.500000,4523.974121,31022600
2017-01-18,5500.000000,5562.500000,5475.000000,5525.000000,4575.735840,47343600
2017-01-19,5550.000000,5587.500000,5500.000000,5525.000000,4575.735840,36372000
2017-01-20,5525.000000,5537.500000,5475.000000,5500.000000,4555.030762,20003600
2017-01-23,5450.000000,5525.000000,5450.000000,5487.500000,4544.678223,8345400
2017-01-24,5500.000000,5525.000000,5475.000000,5500.000000,4555.030762,41637200
2017-01-25,5525.000000,5525.000000,5487.500000,5500.000000,4555.030762,38275000
2017-01-26,5475.000000,5512.500000,5450.000000,5450.000000,4513.621094,24723000
2017-01-27,5487.500000,5512.500000,5475.000000,5487.500000,4544.678223,12087400
2017-01-30,5525.000000,5537.500000,5487.500000,5512.500000,4565.383789,17720200
2017-01-31,5450.000000,5512.500000,5450.000000,5450.000000,4513.621094,19027800
2017-02-01,5487.500000,5512.500000,5462.500000,5487.500000,4544.678223,58622800
2017-02-02,5487.500000,5525.000000,5475.000000,5500.000000,4555.030762,39805000
2017-02-03,5537.500000,5550.000000,5500.000000,5537.500000,4586.087402,55658000
2017-02-06,5575.000000,5700.000000,5575.000000,5687.500000,4710.316895,99007200
2017-02-07,5687.500000,5725.000000,5662.500000,5700.000000,4720.668457,58859400
2017-02-08,5675.000000,5675.000000,5587.500000,5612.500000,4648.202148,54827600
2017-02-09,5700.000000,5787.500000,5700.000000,5737.500000,4751.725586,48922000
2017-02-10,5800.000000,5800.000000,5675.000000,5700.000000,4720.668457,48270200
2017-02-13,5787.500000,5800.000000,5712.500000,5725.000000,4741.373535,40698600
2017-02-14,5725.000000,5737.500000,5675.000000,5712.500000,4731.020508,39872600
2017-02-15,5712.500000,5712.500000,5712.500000,5712.500000,4731.020508,0
2017-02-16,5650.000000,5675.000000,5450.000000,5600.000000,4637.850098,103889000
2017-02-17,5600.000000,5600.000000,5500.000000,5537.500000,4586.087402,51612000
2017-02-20,5600.000000,5637.500000,5550.000000,5637.500000,4668.907227,36095000
2017-02-21,5650.000000,5650.000000,5550.000000,5575.000000,4617.145020,25004200
2017-02-22,5625.000000,5650.000000,5550.000000,5650.000000,4679.259277,53118600
