Date,Open,High,Low,Close,Adj Close,Volume
2016-07-29,2380.000000,2400.000000,2360.000000,2360.000000,2202.057617,321800
2016-08-01,2360.000000,2390.000000,2290.000000,2300.000000,2146.073242,2413000
2016-08-02,2300.000000,2300.000000,2250.000000,2290.000000,2136.742676,1112200
2016-08-03,2300.000000,2440.000000,2290.000000,2430.000000,2267.373047,3856000
2016-08-04,2510.000000,2520.000000,2430.000000,2510.000000,2342.019287,3136500
2016-08-05,2600.000000,2890.000000,2550.000000,2850.000000,2659.264648,5976600
2016-08-08,2900.000000,3100.000000,2870.000000,3010.000000,2808.556641,2477400
2016-08-09,3010.000000,3040.000000,2840.000000,3000.000000,2799.226074,2547600
2016-08-10,3000.000000,3010.000000,2930.000000,2980.000000,2780.564453,545900
2016-08-11,2990.000000,3010.000000,2950.000000,2950.000000,2752.572021,829900
2016-08-12,2940.000000,2970.000000,2910.000000,2910.000000,2715.249268,155400
2016-08-15,2910.000000,2910.000000,2700.000000,2780.000000,2593.949463,368100
2016-08-16,2790.000000,2830.000000,2760.000000,2810.000000,2621.941650,403100
2016-08-18,2880.000000,2900.000000,2800.000000,2800.000000,2612.610840,188700
2016-08-19,2800.000000,2800.000000,2750.000000,2750.000000,2565.957031,163400
2016-08-22,2800.000000,2800.000000,2730.000000,2730.000000,2547.295654,70200
2016-08-23,2700.000000,2700.000000,2560.000000,2580.000000,2407.334229,735800
2016-08-24,2590.000000,2630.000000,2580.000000,2610.000000,2435.326660,61800
2016-08-25,2630.000000,2680.000000,2610.000000,2620.000000,2444.657471,315500
2016-08-26,2670.000000,2670.000000,2590.000000,2660.000000,2481.980469,226900
2016-08-29,2660.000000,2690.000000,2660.000000,2670.000000,2491.311279,90000
2016-08-30,2670.000000,2690.000000,2660.000000,2660.000000,2481.980469,170800
2016-08-31,2650.000000,2690.000000,2650.000000,2670.000000,2491.311279,65700
2016-09-01,2670.000000,2710.000000,2640.000000,2650.000000,2472.649658,86300
2016-09-02,2650.000000,2650.000000,2640.000000,2650.000000,2472.649658,3200
2016-09-05,2650.000000,2670.000000,2650.000000,2650.000000,2472.649658,15900
