Date,Open,High,Low,Close,Adj Close,Volume
2016-07-29,5425.000000,5450.000000,5275.000000,5350.000000,4593.623535,29659300
2016-08-01,5400.000000,5575.000000,5400.000000,5525.000000,4743.882324,48958000
2016-08-02,5525.000000,5550.000000,5475.000000,5475.000000,4700.951660,22924000
2016-08-03,5450.000000,5500.000000,5400.000000,5425.000000,4658.020508,17140600
2016-08-04,5450.000000,5500.000000,5425.000000,5450.000000,4679.486328,17211200
2016-08-05,5500.000000,5725.000000,5500.000000,5650.000000,4851.210449,85688400
2016-08-08,5725.000000,5875.000000,5725.000000,5850.000000,5022.934570,61713000
2016-08-09,5850.000000,5900.000000,5750.000000,5800.000000,4980.003418,32526800
2016-08-10,5825.000000,5975.000000,5675.000000,5700.000000,4894.141113,26517900
2016-08-11,5750.000000,5775.000000,5625.000000,5625.000000,4829.745117,21523600
2016-08-12,5650.000000,5700.000000,5600.000000,5625.000000,4829.745117,32387500
2016-08-15,5625.000000,5675.000000,5475.000000,5650.000000,4851.210449,32761100
2016-08-16,5650.000000,5800.000000,5650.000000,5800.000000,4980.003418,29495300
2016-08-18,5825.000000,5950.000000,5800.000000,5875.000000,5044.399902,50585500
2016-08-19,5875.000000,5975.000000,5825.000000,5850.000000,5022.934570,20928900
2016-08-22,5750.000000,5800.000000,5650.000000,5775.000000,4958.538086,24546500
2016-08-23,5675.000000,5825.000000,5625.000000,5800.000000,4980.003418,25041000
2016-08-24,5775.000000,5850.000000,5750.000000,5825.000000,5001.468750,8709200
2016-08-25,5825.000000,5850.000000,5750.000000,5850.000000,5022.934570,18192100
2016-08-26,5850.000000,5850.000000,5775.000000,5825.000000,5001.468750,9519400
2016-08-29,5825.000000,5825.000000,5725.000000,5800.000000,4980.003418,17097500
2016-08-30,5750.000000,5825.000000,5750.000000,5825.000000,5001.468750,22153600
2016-08-31,5775.000000,5875.000000,5750.000000,5875.000000,5044.399902,16497600
2016-09-01,5875.000000,5875.000000,5800.000000,5850.000000,5022.934570,10062200
2016-09-02,5850.000000,5875.000000,5775.000000,5825.000000,5001.468750,19297600
2016-09-05,5825.000000,5875.000000,5825.000000,5825.000000,5001.468750,12045000
2016-09-06,5750.000000,5850.000000,5750.000000,5850.000000,5022.934570,16907500
2016-09-07,5825.000000,5875.000000,5800.000000,5825.000000,5001.468750,17727800
